:======================================================================:
|       Appendix C Complications or Comorbidities Exclusion List       |
:======================================================================:

Appendix C is a list of all of the codes that are defined as either a
complication or comorbidity (CC) or a major complication or comorbidity
(MCC) when used as a secondary diagnosis.
Part 1 lists these codes. Each code is indicated as CC or MCC, as well as the HAC category (if applicable) the code is assigned to.
Hover over the HAC number for its description. A link is given to a collection of diagnosis codes which,
when used as the principal diagnosis, will cause the CC or MCC to be considered as only a non-CC.
Part 2 lists codes which are assigned as a Major CC only
for patients discharged alive. Otherwise they are assigned as a non-CC.
Part 3 lists diagnosis codes that are designated as a complication or comorbidity (CC) or major
complication or comorbidity (MCC) and included in the definition of the logic for the listed DRGs.
When reported as a secondary diagnosis and grouped to one of the listed DRGs the diagnosis is excluded
from acting as a CC/MCC for severity in DRG assignment.

Appendix C Part 1: List of CC and Major CC Codes
 I10 Dx  Lev HAC PDX Exclusions   ICD-10-CM Description
 A303    CC     0079:3 codes     Borderline leprosy                                                                                                                                                                                      
 A304    CC     0079:3 codes     Borderline lepromatous leprosy                                                                                                                                                                          
 A305    CC     0080:1 code      Lepromatous leprosy                                                                                                                                                                                     
 A308    CC     0081:1 code      Other forms of leprosy                                                                                                                                                                                  
 A309    CC     0082:1 code      Leprosy, unspecified                                                                                                                                                                                    
 A310    CC     0083:122 codes   Pulmonary mycobacterial infection                                                                                                                                                                       
 A311    CC     0084:5 codes     Cutaneous mycobacterial infection                                                                                                                                                                       
 A312    CC     0084:5 codes     Disseminated mycobacterium avium-intracellulare complex (DMAC)                                                                                                                                          
 A318    CC     0084:5 codes     Other mycobacterial infections                                                                                                                                                                          
 A319    CC     0084:5 codes     Mycobacterial infection, unspecified                                                                                                                                                                    
 A320    CC     0075:14 codes    Cutaneous listeriosis                                                                                                                                                                                   
 A3211   CC     0075:14 codes    Listerial meningitis                                                                                                                                                                                    
 A3212   CC     0075:14 codes    Listerial meningoencephalitis                                                                                                                                                                           
 A327    MCC    0072:46 codes    Listerial sepsis                                                                                                                                                                                        
 A3281   CC     0075:14 codes    Oculoglandular listeriosis                                                                                                                                                                              
 A3282   CC     0075:14 codes    Listerial endocarditis                                                                                                                                                                                  
 A3289   CC     0075:14 codes    Other forms of listeriosis                                                                                                                                                                              
 A329    CC     0075:14 codes    Listeriosis, unspecified                                                                                                                                                                                
 A33     MCC    0085:18 codes    Tetanus neonatorum                                                                                                                                                                                      
 A34     CC     0086:268 codes   Obstetrical tetanus                                                                                                                                                                                     
 A35     MCC    0087:5 codes     Other tetanus                                                                                                                                                                                           
 A360    CC     0088:12 codes    Pharyngeal diphtheria                                                                                                                                                                                   
 A361    CC     0088:12 codes    Nasopharyngeal diphtheria                                                                                                                                                                               
 A362    CC     0088:12 codes    Laryngeal diphtheria                                                                                                                                                                                    
 A363    CC     0088:12 codes    Cutaneous diphtheria                                                                                                                                                                                    
 A3681   CC     0089:31 codes    Diphtheritic cardiomyopathy                                                                                                                                                                             
 A3682   CC     0088:12 codes    Diphtheritic radiculomyelitis                                                                                                                                                                           
 A3683   CC     0088:12 codes    Diphtheritic polyneuritis                                                                                                                                                                               
 A3684   CC     0088:12 codes    Diphtheritic tubulo-interstitial nephropathy                                                                                                                                                            
 A3685   CC     0088:12 codes    Diphtheritic cystitis                                                                                                                                                                                   
 A3686   CC     0088:12 codes    Diphtheritic conjunctivitis                                                                                                                                                                             
